421 10
!q_inv tpot_inv tpot_pbl pbl lwc_max cdnc cos_mu lwp_rad lhf avg_wp_bc
1.0589  2.606  290.338  125.34 0.0282  22.87  0.00049  53 145.3 0.4124
6.679  9.824  295.832  164.84 0.4162  69.39  0.24268  0.6 119.8 0.25
0.3726  4.982  274.16  73.14 0.2583  134.95  0.14457  34.2 3.9 0.05709
3.3451  4.363  299.622  88.05 0.1824  35.1  0.80132  1.6 112.6 0.3506
8.737  9.746  298.723  123.46 0.2295  52.8  0.77158  1.2 172.2 0.4331
1.8524  1.108  297.17  36.59 0.0354  41.12  0.03682  52.7 68.3 0.3361
1.3903  4.718  300.581  164.79 0.2393  18.84  0.95703  6.4 160.4 0.3946
0.9981  1.608  279.608  73.63 0.1631  111.9  0.53119  0.9 33 0.1965
3.2298  2.151  298.618  72.74 0.2305  32.99  0.00091  32.3 60.7 0.3455
0.7109  1.139  273.532  85.69 0.0928  90.61  0.27204  1.9 28.4 0.1997
3.1662  13.218  281.064  213.49 0.5123  87.2  0.00056  0.3 188.5 0.4442
1.1799  1.787  273.452  71.42 0.1806  254.22  0.09304  0.1 5.3 0.2054
5.5805  8.746  289.716  72.31 0.1183  102.56  -0.00236  0.4 95.2 0.356
4.6276  11.827  287.275  145.54 0.2551  93.05  0.82791  1.4 45.9 0.0973
1.4352  8.299  274.087  186.52 0.1354  99.07  -0.00019  1.6 46.3 0.4106
1.6747  3.933  287.748  216.3 0.7504  51.48  0.5077  60.2 167.6 0.2407
1.9272  1.071  297.875  36.54 0.0313  58.33  0.00049  61.3 76.2 0.3346
2.1833  2.319  299.176  59.27 0.1568  23.17  -0.00483  18.1 54.6 0.2697
2.4923  1.886  297.564  47.18 0.0561  14.92  -0.00036  116.5 90.3 0.3872
6.1832  12.66  291.545  214.61 0.5015  22.79  0.70539  0.3 293.7 0.3284
1.0681  3.446  300.803  143 0.367  251.22  0.00677  59.4 163.5 0.1568
1.7899  2.433  295.928  105.62 0.3027  24.68  0.00115  17.5 138.1 0.4818
6.9187  13.079  289.512  124.29 0.3672  63.48  -0.0005  0.3 140 0.2088
1.1054  2.622  281.46  48.39 0.2391  115.94  0.49438  84.8 33.4 0.1314
8.2457  14.6  294.237  143.84 0.4899  35.51  0.03999  0 229.1 0.264
2.1498  3.624  301.126  123.2 0.2368  22.57  0.65261  36.1 115.3 0.3349
1.0104  1.275  279.924  128.07 0.1077  57.42  0.08832  87.6 56.9 0.3058
9.7622  13.541  293.195  105.79 0.4181  121.73  0.00151  0.1 185.5 0.3394
7.6505  9.356  294.724  165.74 0.234  44.59  -0.00347  0 119.1 0.3527
0.9165  4.983  272.502  139.31 0.3186  91.22  0.41051  0.1 9.1 0.07976
7.8698  7.833  292.452  144.76 0.3856  125.96  0.00787  0.7 287.5 0.6347
2.855  1.623  296.86  88.61 0.0532  42.94  0.485  18.2 155.1 0.5746
1.1365  2.437  288.898  142.25 0.2074  45.62  0.27059  21.6 107.7 0.2141
5.6971  11.757  295.258  166.47 0.5138  46.63  0.53834  0.3 141.8 0.1529
2.9117  9.704  281.389  214.44 0.3798  81.82  0.16741  1.6 110.7 0.4175
0.7819  2.585  279.149  74.03 0.2055  136.79  0.72584  0.1 17.8 0.2539
0.7631  2.087  275.941  85.44 0.1063  157.55  0.46628  3.1 -4.9 0.1359
1.9656  5.379  291.871  191.76 0.9003  37.48  -0.0054  5.2 212 0.2958
3.053  3.47  299.75  143.54 0.4628  50.92  0.00217  8.4 176.4 0.5674
7.1268  11.225  292.081  123.54 0.1552  53.9  0.00212  0.2 122.5 0.3353
2.457  2.13  295.197  106.11 0.2562  21.35  0.86988  41.3 122.5 0.4698
3.0531  7.787  280.026  126.01 0.2208  168.37  0.53037  8 56.4 0.1133
2.0874  1.776  299.504  72.46 0.2752  137.25  0.08183  28 112.6 0.4241
3.4355  2.52  298.108  73.07 0.1258  53.57  0.26051  54.2 133.5 0.4715
1.8477  9.599  272.554  106.07 0.2122  124.32  0.38604  0 42.9 0.07585
1.3374  10.351  277.908  144.74 0.684  166.56  0.18059  0.4 55.4 0.2328
2.1172  2.011  295.988  88.39 0.3071  53.49  0.36477  55.9 188.1 0.3613
3.4295  9.211  282.82  186.32 0.1566  98.33  0.2512  0.2 93.7 0.1934
3.6375  2.563  297.408  89.21 0.0531  29.78  -0.00463  21.2 101.8 0.368
4.3434  4.104  300.299  88.43 0.0783  59.02  -0.00183  0.7 101.6 0.3291
5.411  7.592  297.176  187.88 0.5022  113.38  0.79628  0.3 164.2 0.4045
4.7012  6.127  288.699  125.82 0.0693  88.38  0.76837  0.2 240.5 0.5395
3.7796  3.49  285.406  106.55 0.0425  290.04  -0.00573  0 271.5 0.7199
1.2951  1.868  285.519  74.13 0.134  29.48  -0.00476  66.2 43.2 0.2179
1.5088  3.34  299.09  124.03 0.2167  35.47  0.50317  34.2 141.5 0.3178
2.4643  6.38  288.304  167.62 0.359  44.19  -0.00359  0.3 104.3 0.1245
