   1    0.3278    0.1624    0.1654   1
   2    0.1379    0.0881    0.0498   3
   3    0.0557    0.0725   -0.0168   2
   4    0.1202    0.1066    0.0136   2
   5    0.1066    0.1261   -0.0195   4
   6    0.0987    0.1260   -0.0274   4
   7    0.0918    0.0827    0.0091   4
   8    0.1122    0.1451   -0.0329  10
   9    0.2055    0.1440    0.0616   4
  10    0.0493    0.0865   -0.0372   7
  11    0.0720    0.0532    0.0188   7
  12    0.0819    0.1298   -0.0479   9
  13    0.0740    0.1564   -0.0823   6
  14    0.1514    0.1080    0.0435   6
  15    0.0070    0.0822   -0.0752  10
  16    0.0758    0.0873   -0.0115   1
  17    0.0726    0.1026   -0.0300   7
  18    0.2055    0.1230    0.0825   7
  19    0.1193    0.1399   -0.0205   5
  20    0.0663    0.1096   -0.0432   4
  21    0.1155    0.2039   -0.0884   5
  22    0.1781    0.0976    0.0805   2
  23    0.0573    0.0673   -0.0100   5
  24    0.1111    0.1334   -0.0223   7
  25    0.0304    0.0936   -0.0632   9
  26    0.0549    0.1082   -0.0533   9
  27    0.1984    0.1431    0.0553   8
  28    0.0888    0.1215   -0.0327   2
  29    0.0236    0.1139   -0.0903   2
  30    0.0813    0.0634    0.0179   7
  31    0.0589    0.0504    0.0085   6
  32    0.0526    0.0986   -0.0460   6
  33    0.0333    0.1927   -0.1594   8
  34    0.0633    0.1079   -0.0446   8
  35    0.2583    0.1590    0.0993  10
  36    0.1942    0.0781    0.1161   5
  37    0.2362    0.1838    0.0524   8
  38    0.0965    0.1775   -0.0810   4
  39    0.4493    0.2962    0.1531   8
  40    0.0697    0.1861   -0.1164   5
  41    0.0905    0.2477   -0.1571   5
  42    0.0497    0.1015   -0.0518   1
  43    0.1203    0.1762   -0.0559   2
  44    0.1378    0.1001    0.0377  10
  45    0.3744    0.2817    0.0927   9
  46    0.1508    0.0622    0.0886  10
  47    0.0851    0.1373   -0.0522   4
  48    0.1140    0.1726   -0.0586   2
  49    0.2781    0.1696    0.1084  10
  50    0.3613    0.1723    0.1890  10
  51    0.0959    0.1056   -0.0097   5
  52    0.0381    0.0446   -0.0066   8
  53    0.1424    0.2172   -0.0749   7
  54    0.0017    0.0751   -0.0734   2
  55    0.2170    0.2068    0.0101   8
  56    0.0767    0.1095   -0.0328   5
  57    0.1760    0.1783   -0.0023   1
  58    0.1670    0.0777    0.0893   6
  59    0.2208    0.1729    0.0479   6
  60    0.0499    0.0744   -0.0245  10
  61    0.2728    0.1406    0.1322   6
  62    0.2289    0.1323    0.0966   8
  63    0.1612    0.1529    0.0083   5
  64    0.0284    0.0854   -0.0569   1
  65    0.1338    0.2583   -0.1246   5
  66    0.2387    0.2409   -0.0023   8
  67    0.3620    0.1187    0.2433   3
  68    0.1307    0.1530   -0.0224  10
  69    0.2494    0.2663   -0.0169   7
  70    0.0417    0.1182   -0.0765   7
