   1    0.7249    0.6373    0.0876   2
   2    1.0101    0.8375    0.1726   9
   3    0.4462    0.5574   -0.1112   7
   4    0.4700    0.4272    0.0428   1
   5    0.4852    0.4303    0.0549   6
   6    0.3186    0.3929   -0.0742   9
   7    0.7308    0.7807   -0.0499   7
   8    0.5332    0.5518   -0.0186   9
   9    0.7333    0.6683    0.0649   2
  10    0.4563    0.5136   -0.0573   9
  11    0.4389    0.5554   -0.1165   6
  12    0.5871    0.6516   -0.0646   2
  13    0.7573    0.5917    0.1656   6
  14    0.5345    0.4744    0.0601   9
  15    0.3852    0.4633   -0.0781   2
  16    0.7721    0.7434    0.0287   1
  17    0.4684    0.4874   -0.0190   1
  18    0.8244    0.7521    0.0723   1
  19    0.3329    0.3572   -0.0244   8
  20    0.4773    0.5466   -0.0693  10
  21    0.6806    0.6259    0.0547   8
  22    0.8980    0.8428    0.0552  10
  23    0.6406    0.7202   -0.0795   7
  24    0.4523    0.4994   -0.0471   3
  25    0.7181    0.6096    0.1084   1
  26    0.5870    0.5469    0.0401   5
  27    0.7321    0.7659   -0.0338   9
  28    0.4777    0.4804   -0.0027   5
  29    0.5963    0.6525   -0.0563  10
  30    0.6259    0.5875    0.0384   7
  31    0.3052    0.3605   -0.0553   1
  32    0.5127    0.6147   -0.1019   3
  33    0.4658    0.5122   -0.0464   2
  34    0.2799    0.4111   -0.1312   2
  35    0.5335    0.8957   -0.3622   4
  36    0.7146    0.7132    0.0014   4
  37    1.0003    0.8853    0.1150   4
  38    0.3287    0.3875   -0.0588  10
  39    0.4603    0.3670    0.0933   4
  40    0.5199    0.5409   -0.0211   7
  41    0.6471    0.6021    0.0450   7
  42    0.8751    0.7777    0.0974   9
  43    0.2362    0.2585   -0.0223   6
  44    0.6081    0.5891    0.0190   6
  45    1.1418    0.9498    0.1920  10
  46    0.7594    0.7438    0.0157   1
  47    0.5448    0.4429    0.1020   7
  48    0.4010    0.3819    0.0191   7
  49    0.4221    0.4683   -0.0462   5
  50    0.3478    0.3364    0.0115   4
  51    0.8486    0.8114    0.0372   5
  52    0.6365    0.5992    0.0373   2
  53    0.5265    0.4421    0.0844   5
