509  10
!tpot,clw_max,pblh,tpot_inv,rt_inv,srfc_tpot_inv,srfc_rt_inv,lwp_rad,cos_mu,wstd_bc
272.234  0.0001183  7157  2.301  -0.0007588 0.33  -0.0003373  0.2  0  0.327813
288.424  0.0001863  6002.2  2.54  -0.0023058 0.262  -0.0004467  2.7  0.8239  0.137933
284.922  5.76e-05  9062.3  1.224  -0.002917 0.028  -0.0001223  49.3  0  0.0557421
272.463  0.0002296  5213.2  1.89  -0.0010945 0.014  -0.000192  46.3  0.33  0.120205
285.756  0.0001491  6648.8  2.169  -0.0056072 0  0.0004586  0  0  0.106567
280.511  0.0002161  7996.4  1.685  -0.0028366 0  0.0003323  0.3  0.30342  0.0986717
285.699  0.000132  3858.8  2.526  -0.0013827 0.249  0.000389  17.4  0  0.0918275
270.195  0.0002174  6074.2  2  -0.0007371 0  7.9e-06  46.5  0.18378  0.112185
276.049  0.0002114  10119.9  1.572  -0.0007299 1.029  -0.0004533  2.1  0  0.205539
285.89  0.0002144  7297.4  1.604  -0.0008329 0.614  -0.0007555  14.3  0.56921  0.0492561
289.303  0.0001956  7315.6  1.912  -0.0011799 0.829  -0.0003699  66.5  0  0.0720135
272.415  0.0002625  8953.2  2.203  -0.0008064 0.562  -0.0003988  71.4  0.30756  0.0819056
275.311  0.0001419  7486.1  2.797  -0.0009544 1.638  9.3e-05  19.4  0.00023  0.0740436
279.046  0.0001071  5268.2  2.243  -0.0012379 0.466  0.0001061  3.8  0.18269  0.15143
283.938  6.86e-05  9030.3  2.794  -0.0012136 2.672  -0.0001179  43.5  0  0.00703117
280.949  0.0001584  7747.8  1.465  -0.0015612 0.737  -2.8e-05  45.9  0.63456  0.0758109
281.152  0.0001713  5910.7  2.175  -0.0005397 0.256  -0.0004153  0.5  0  0.0725527
274.878  0.0001352  10109.8  2.675  -0.0004172 0.338  -0.0003658  2.1  0.52053  0.205497
273.942  0.0001833  5353.5  1.669  -0.0003621 0.197  -0.0002584  11.8  0.06105  0.119306
272.183  0.0001751  6135.5  2.641  -0.0002833 0.14  -0.0002979  18  0.4497  0.0663491
267.955  0.0001725  10790.7  2.643  -0.000362 0.134  -8.56e-05  0.2  0.07995  0.11548
272.463  0.0001813  4401.7  2.456  -0.0004742 0.128  -8.49e-05  7.3  0.50266  0.178094
285.797  9.78e-05  2862.6  2.317  -0.000581 0  0.0003963  28  0  0.0573115
268.477  0.0001729  7420.1  2.119  -0.0005107 0.015  8.9e-06  13.5  0.46299  0.11109
285.395  0.0002362  10523.4  2.564  -0.0003145 0.958  -0.0009736  0.1  0  0.0303741
279.753  0.0001426  10291.6  2.195  -0.0006391 0.479  -0.0008149  0  0.53727  0.0549031
274.37  0.0001006  7439.2  2.857  -0.0001192 0.631  -0.0004685  6.7  0.07218  0.198442
273.091  0.0001044  5950.8  2.078  -0.0003119 0.554  -0.0004839  26.8  0.2977  0.0888312
280.361  0.0001968  7555.8  2.203  -0.0002888 0.483  -0.0003117  9.1  0  0.0235547
285.454  0.0002005  3753.9  2.663  -0.0002338 0.813  2.06e-05  6  0.48998  0.0812681
280.758  0.0001469  6101.9  2.535  -0.0003621 1.118  0.000164  284.8  0  0.0589433
277.43  8.06e-05  5947.4  1.35  -0.0004759 0.557  -0.0002788  58.7  0.15796  0.052608
287.548  0.0001632  9148.9  6.093  -0.0057052 0  1.2e-06  0  0  0.0333176
272.862  0.0001824  6059.2  6.988  -0.0021755 0  -4.98e-05  0  0.65084  0.063296
274.845  0.0001867  7893.1  3.043  -0.0012422 0  -0.000296  2.8  0.0861  0.258282
289.09  0.0001703  3816.5  3.573  -0.0017152 0  -0.0004894  1.8  0.88708  0.194191
288.254  0.0002731  4851.2  8.417  -0.0055394 0  0.0002974  0  0  0.236231
282.673  5.93e-05  9251.5  9.422  -0.0055867 0  8.68e-05  0  0.70398  0.0965002
287.383  0.0003087  10788  12.559  -0.0073977 0  6.03e-05  0.1  0  0.449311
279.947  0.0001573  4200.8  5.146  -0.0037635 0  0.0001913  58.1  0.04382  0.0696602
277.548  0.0002542  9035  6.592  -0.0018032 0.061  -0.0003889  0.3  0.00013  0.0905488
280.629  0.0001569  6162.9  5.15  -0.0030261 0.139  -0.0003159  0.1  0.70859  0.0496833
275.469  0.0002965  7313.5  3.459  -0.0018405 0.083  -0.0002408  29.7  0  0.120254
276.937  7.62e-05  10484.8  3.083  -0.0014622 1.21  -0.0006641  1.5  0.73074  0.13777
280.981  0.0002887  10902.2  8.658  -0.0022466 0  -0.0001897  0.1  0  0.374418
286.569  0.0001152  9078.2  4.737  -0.0022718 0.431  -0.000206  0.1  0.90329  0.150832
280.111  8.73e-05  3819.7  3.789  -0.0019788 0.131  6.77e-05  15.8  0.00673  0.0850572
277.023  0.0003059  9495.9  7.634  -0.0014931 2.74  0.0002966  0.8  0.37697  0.114001
271.624  0.0002197  8086.3  4.22  -0.0004598 0.131  -0.0001278  2.9  0  0.278057
271.951  0.0001214  9084.2  10.081  -0.0007507 0.028  -0.0001549  0.1  0.28085  0.361342
280.128  0.0002954  8668.6  5.355  -0.000264 0  -0.0001128  81.9  0.17765  0.0958512
279.314  0.0002566  6356.8  6.018  -0.0002247 0.108  -0.0003714  24.8  0.75584  0.03806
271.068  0.0002778  7564.7  7.409  -0.0007863 0  9.4e-06  0.1  0  0.142366
285.26  0.0002903  2611.2  3.345  -0.0001306 0  0.0001306  0.3  0.58288  0.0016776
270.994  0.0002782  10807.2  6.611  -0.0002979 0.137  -6.87e-05  8.2  0  0.216991
272.458  0.0001151  3078  3.65  -0.0007369 0  7.55e-05  26  0.44099  0.0766735
271.725  0.0002174  10506.7  3.476  -0.0002485 1.033  -0.0005276  2.6  0.00583  0.175997
283.093  0.0002735  9024.6  3.785  -0.0006968 1.235  -0.0007887  2.2  0.4521  0.167006
270.93  0.0002104  7624.3  3.727  -0.0005136 0.222  -0.0003652  7.8  0.02624  0.22082
281.926  0.000259  8142.5  3.405  -0.0004195 0.321  -0.0005441  11.7  0.62692  0.0499322
275.877  0.0003153  5322.9  5.295  -0.0007283 0.673  -2.77e-05  1.1  0  0.272846
266.739  0.000182  7517.4  3.103  -0.000341 0.287  -0.0001374  0  0.37237  0.228889
272.333  0.0001388  3578.1  3.179  -0.0001916 0.981  0.0001216  12  0  0.161218
284.642  0.0002074  6073.5  7.262  -0.0004412 2.292  0.0002102  42.5  0.45945  0.0284388
273.818  0.0002435  14310  4.608  -0.0013531 0.165  -0.0006865  0.2  0  0.133752
275.91  0.000266  13574.4  4.8  -0.002064 0.016  -0.0005403  0.1  0.12403  0.238662
283.832  0.0001325  12679.6  3.47  -0.0020617 0  -0.0003887  2.1  0  0.361998
282.173  0.0003072  19022.7  3.305  -0.0010776 0.044  -0.0004323  8  0.47142  0.130655
275.182  0.0002963  14596.1  5.426  -0.0018728 0  -2.01e-05  0  0  0.249353
283.646  0.0001388  15472.7  5.919  -0.0034801 0  0.000311  0  0.85969  0.0416679
275.901  0.0001703  13249.8  5.994  -0.001868 0  5.73e-05  0.1  0  0.189447
285.556  0.0002965  16111.9  2.016  -0.0016093 0  -0.0001492  77.1  0.57877  0.212837
285.112  0.0002817  11997.9  3.706  -0.0021959 1.365  -0.0014122  0  0  0.0988192
286.809  0.0002982  21414  4.315  -0.0026765 1.736  -0.0014817  0.1  0.41535  0.116327
281.753  0.0002191  14634.7  5.591  -0.001022 0.8  -0.0012927  4.6  0  0.23516
289.285  0.0001719  18957  2.881  -0.0011279 2.868  -0.0010657  7  0.63813  0.0535624
281.53  0.0001249  16327.6  4.058  -0.0012192 3.469  -0.0007768  0.3  0  0.0731219
283.458  0.0002237  16252.7  2.401  -0.0013697 1.375  -0.0008965  0.1  0.35747  0.115777
282.678  0.0002186  21826.9  2.682  -0.0016413 1.517  -0.0008812  7.8  0  0.125072
289.05  0.000106  14823.3  2.97  -0.0014684 3.656  -0.0009025  2.3  0.36343  0.114586
273.81  0.0002112  15872.6  3.033  -0.0005827 0.421  -0.0005505  0.1  0.11214  0.272558
274.372  0.0002812  14257.3  3.558  -0.0003374 0.438  -0.000483  0.1  0.47121  0.0771228
269.416  0.0002978  11545.5  4.368  -0.0002921 0.454  -0.0006799  2.2  0.09073  0.13265
272.096  0.0001743  11851  5.165  -0.0001346 0.596  -0.0006218  14.1  0.27798  0.104896
273.26  0.0003021  12616.6  5.062  -0.0009206 0.054  -4.74e-05  0.1  0.01772  0.202822
270.013  0.0002265  12764.4  3.064  -0.0001773 0.33  -0.0003714  0.1  0.19063  0.094817
270.949  0.0002945  18557.8  5.911  -0.0005417 0.283  -0.0001902  0.9  0  0.228809
269.418  0.0003149  16568  5.524  -0.0006155 0.239  -0.0001527  4.4  0.06939  0.29729
287.598  0.0002458  14571.9  4.117  -0.0001622 1.367  -0.0017391  0.5  0  0.119833
280.319  0.0002319  21137.1  4.442  -0.0003604 1.056  -0.0010733  0.3  0.86501  0.0598447
288.136  0.0002432  19367  2.296  -0.0005625 1.434  -0.001486  19.6  0  0.0346489
285.414  0.0001939  16476.2  3.265  -0.0008352 2.175  -0.0021257  1.2  0.7919  0.118618
273.274  0.00015  15174.6  2.509  -0.0002663 1.238  -0.0003694  0.1  0.06293  0.23334
273.793  0.0001871  17453.7  4.762  -0.0004617 0.92  -0.0005639  0  0.33405  0.292641
284.356  6.08e-05  12496.8  3.308  -9.58e-05 2.654  -0.00093  112  0  0.000843283
282.898  0.0001829  14138.5  3.755  -0.0007651 2.088  -1.25e-05  0.9  0.21946  0.0395196
286.407  0.0002368  19018.8  6.699  -0.0030243 0.193  -0.0003599  0  0  0.0398019
283.637  0.0002043  15039.1  9.342  -0.0049021 0  -0.0002966  0  0.34229  0.506575
279.407  0.0001585  12848  10.196  -0.0035346 0  -0.0002336  0.1  0  0.580695
281.544  0.0002945  16830.5  11.213  -0.0035053 0.033  -0.0002919  0.1  0.84191  0.0416899
286.766  0.0002883  13372.8  8.315  -0.0063048 0  7.35e-05  0  0  0.414538
288.995  0.0003081  11996.8  7.669  -0.0041027 0  8.96e-05  0  0.92322  0.073676
273.821  0.0001929  12740.8  8.867  -0.002559 0  3.26e-05  0.1  0  0.57415
281.625  0.0002841  14988.1  10.733  -0.0040615 0  1.22e-05  0.1  0.84939  0.35426
287.666  0.0001057  17386.8  6.49  -0.0040995 1.98  -0.0015751  0  0.0784  0.0106836
287.131  0.0002025  13251.9  8.678  -0.0041914 1.298  -0.0021583  0  0.71328  0.0262278
288.125  0.0002985  12787.6  11.582  -0.0042243 0.849  -0.001621  0.1  0.26836  0.0326429
289.219  0.0002951  21479.7  10.361  -0.004714 1.341  -0.0020207  0.1  0.86182  0.30529
286.53  0.0001467  14822.5  11.584  -0.0054825 0.389  -0.0004576  0  0  0.440632
285.415  0.0001506  19158  10.991  -0.0034288 1.958  -0.0009436  0  0.41878  0.00966269
289.29  0.0002761  19278.6  6.669  -0.0055835 0.415  -0.0007381  0.1  0  0.417729
285.322  0.0001462  21176.9  6.267  -0.003209 0.316  -0.0001654  0.1  0.67376  0.026549
274.142  0.0002566  16510.3  9.797  -0.0019953 0.261  -0.0007791  0  0  0.103211
265.884  0.0002504  14783  6.778  -0.0003694 0.121  -0.0004192  0  0.14264  0.167882
279.173  0.0001911  21522.4  7.142  -0.0007912 0.422  -0.0005944  0.2  0  0.0465251
271.315  0.000293  12640.8  10.129  -0.000549 0.299  -0.0004997  0.2  0.47698  0.118234
273.129  0.0002696  17182.5  10.372  -0.0019136 0.021  -4.16e-05  0  0  0.121329
271.501  0.0001988  13496.5  7.235  -0.0018539 0.058  -0.0001244  0  0.37927  0.0950581
270.097  0.0002456  12872  8.901  -0.0005498 0.075  -6.44e-05  0.1  0  0.117196
284.843  0.0001914  14867.3  10.485  -0.0022811 0.098  -3.39e-05  3  0.4005  0.271044
276.941  0.0002323  16199.3  8.183  -0.001938 0.59  -0.00096  0.1  0  0.365905
282.2  0.0002299  14743.3  9.812  -0.0011066 0.723  -0.0011527  0  0.68549  0.186269
285.093  0.0001678  17550.5  7.473  -0.0011437 0.767  -0.0011035  1.6  0  0.335377
285.304  0.0002576  21194.9  7.997  -0.0011105 1.301  -0.0013739  0.5  0.6885  0.197665
267.494  0.0001958  16526.4  12.63  -6.85e-05 0.629  -0.0005491  0.1  0.10626  0.350624
271.631  0.0002051  14449.9  6.112  -0.0005564 0.948  -0.0008129  0  0.39867  0.300541
274.098  0.00027  16495.6  7.766  -0.0013103 0.587  -0.0007714  5.1  0  0.318985
272.01  0.0002848  12451.7  7.43  -0.0011351 0.457  -0.0005076  5.4  0.5707  0.204235
276.601  0.0005587  12550.3  6.963  -0.0019701 0  -3.16e-05  0.2  0  0.264149
277.605  0.000653  12620.4  7.237  -0.0021726 0  -7.38e-05  0.2  0.57337  0.11054
273.994  0.0003663  9991  5.519  -0.0013487 0  -9.74e-05  7.5  0  0.247105
276.225  0.0004217  7470.8  7.163  -0.0012603 0  -4.9e-05  0.5  0.08646  0.226877
288.527  0.0006859  6111.2  3.517  -0.0039026 0.017  0.0003532  0  0  0.239015
