1418	9
4.1640625	0.1571609	101526.2968750	5.656896E-03	293.5816	10.400330	1.275891E-01	1485.0000000	0.7249319
17.7145996	0.0000000	102897.1250000	2.164412E-03	278.9552	5.378906	1.066925E-01	2215.0000000	1.0101110
9.2348633	0.0014542	102504.8281250	7.883270E-04	281.3144	3.403381	1.384505E-01	1315.0000000	0.4461543
5.2812500	0.6271670	102852.6015625	2.069572E-03	288.6003	3.614441	1.738899E-02	685.0000000	0.4699986
3.3041992	0.5579745	102358.4140625	1.609998E-03	295.2394	3.762421	4.254233E-02	1285.0000000	0.4852167
-10.0805664	0.0000000	102682.8515625	5.881630E-04	284.2819	8.467346	1.213495E-01	935.0000000	0.3186334
57.5395508	0.0000000	102569.2656250	1.889938E-03	284.8520	3.433441	2.599286E-02	1945.0000000	0.7307998
41.0090332	0.6933498	103313.3671875	3.849323E-03	288.0108	9.111969	3.808778E-02	2165.0000000	0.5331970
4.1501465	0.0000000	102943.0781250	6.120808E-03	296.7658	8.116425	7.941967E-02	2035.0000000	0.7332586
4.3486633	0.7066823	104014.8593750	2.097019E-03	277.7464	8.238770	4.545712E-02	1395.0000000	0.4562983
-5.0095215	0.1964090	102183.7578125	6.021140E-04	273.3029	7.426147	1.489789E-01	1445.0000000	0.4389259
-6.1126709	0.0000000	98676.7343750	6.286080E-04	278.4004	5.176849	1.359358E-01	1885.0000000	0.5870958
10.9987183	0.0524293	102175.5546875	4.084431E-03	294.0193	9.463989	7.976156E-02	1605.0000000	0.7572570
6.0246582	0.7181072	103543.1640625	2.491428E-03	284.5803	6.745667	1.969832E-02	1715.0000000	0.5345004
2.2870941	0.0000000	103460.7265625	1.212776E-03	284.6311	4.659821	1.514915E-01	895.0000000	0.3852188
20.4738770	0.0779690	102886.4531250	3.069206E-03	286.6551	5.467621	8.755429E-02	1665.0000000	0.7721139
5.6000977	0.6239524	102107.0000000	2.422966E-03	283.9843	5.970642	8.453633E-02	975.0000000	0.4683986
19.1206055	0.0000000	101061.6093750	4.513360E-04	270.2199	6.808289	9.912742E-02	955.0000000	0.8244077
9.6398926	0.6674581	101570.4921875	2.511161E-03	299.9623	5.028412	4.574011E-02	1675.0000000	0.3328753
-0.3981934	0.0000000	101720.9218750	1.029824E-03	281.9798	7.002991	1.385111E-01	1475.0000000	0.4773126
20.2907715	0.4882572	101757.1640625	2.825952E-03	283.2439	7.686035	7.316975E-02	1945.0000000	0.6805875
20.3375549	0.0000000	102834.9218750	2.091815E-03	279.0020	5.151917	1.068144E-01	1785.0000000	0.8980174
39.7790527	0.0000000	103219.3515625	1.634813E-03	283.9644	6.960693	8.118059E-02	2495.0000000	0.6406290
20.5200195	0.8430375	103528.6093750	4.971560E-03	287.6073	6.051422	1.069062E-02	1245.0000000	0.4522864
-9.7839355	0.0026099	100603.8281250	1.104576E-03	272.6597	5.383118	2.005770E-01	1385.0000000	0.7180508
13.7808838	0.0000000	101700.8515625	1.694171E-03	285.9943	6.366730	1.188753E-01	545.0000000	0.5870403
27.0715332	0.0000000	101867.2421875	6.963289E-03	294.6883	6.215485	3.523926E-02	1865.0000000	0.7321221
12.8610840	0.7817767	103518.3359375	2.468956E-03	281.9544	7.400208	2.431011E-02	1985.0000000	0.4777259
6.8591309	0.0000000	100910.6562500	6.622180E-04	281.0611	5.954346	1.083254E-01	2455.0000000	0.5962631
-0.0959473	0.3214229	103126.6796875	7.904100E-04	272.0117	3.905609	1.441132E-01	1475.0000000	0.6259060
9.9453125	0.6957504	101487.0156250	3.763930E-03	299.7168	3.611847	1.269441E-02	1615.0000000	0.3052217
-2.0705566	0.0594818	100498.6093750	9.316270E-04	272.9794	5.638611	1.930063E-01	1685.0000000	0.5127193
18.1372070	0.7626724	102006.1171875	4.976678E-03	291.6366	13.103520	3.137573E-02	1855.0000000	0.4658245
2.4548340	0.1911345	101786.0078125	1.086001E-03	299.0966	7.658264	5.982964E-02	2265.0000000	0.2799027
65.2335205	0.0000000	101316.9765625	9.084308E-04	272.9622	6.105438	1.821128E-01	2315.0000000	0.5335461
50.9719238	0.0000000	102516.6562500	4.800653E-03	297.9268	9.552734	4.783819E-02	2885.0000000	0.7146036
20.9404297	0.0000000	101348.3125000	1.863765E-03	274.9648	7.798737	1.386164E-01	1555.0000000	1.0002910
1.4245605	0.1762958	102682.8906250	8.205480E-04	288.0480	6.529633	1.162445E-01	1065.0000000	0.3286919
12.7778931	0.9768741	102199.9531250	3.226672E-03	291.2657	4.215729	1.596513E-02	945.0000000	0.4602569
4.9060059	0.7158287	102818.0156250	4.651979E-03	288.9828	9.473755	3.697898E-02	1585.0000000	0.5198623
11.7441406	0.0000000	102898.7265625	1.856766E-03	285.0783	4.964081	1.721430E-01	1855.0000000	0.6471186
-2.8585205	0.0000000	102931.5312500	2.373933E-03	280.3065	7.470856	4.615115E-02	1975.0000000	0.8750991
-3.0500488	0.8425428	101577.7656250	4.729970E-04	286.2088	6.787170	5.901523E-02	885.0000000	0.2361922
25.1207275	0.3946713	102345.8125000	4.482515E-03	297.0363	10.998320	3.529292E-02	2955.0000000	0.6081108
78.2329102	0.0000000	102890.4531250	2.864491E-03	283.7534	10.706120	1.304355E-01	2265.0000000	1.1418170
13.6188965	0.0000000	103213.2578125	2.994323E-03	284.3180	11.299260	1.629516E-01	2075.0000000	0.7594257
3.5534668	0.0067573	101378.4609375	3.889154E-03	299.9762	5.693298	1.004754E-01	1505.0000000	0.5448219
10.8664551	0.6310068	101964.6718750	3.210365E-03	298.0101	8.709747	4.531103E-02	1935.0000000	0.4009660
15.5070801	0.6493453	101392.9062500	4.730205E-03	297.7579	7.626190	6.269341E-02	1215.0000000	0.4220709
8.2980957	0.8753116	102925.6875000	1.351396E-03	288.8166	4.054352	4.260682E-02	1295.0000000	0.3478280
17.9606934	0.0037275	103042.2500000	1.719252E-03	278.9786	4.311554	8.887114E-02	1825.0000000	0.8486199
16.6396484	0.5485542	103157.1562500	3.507659E-03	286.9731	7.233521	4.836919E-02	1855.0000000	0.6365234
6.6770020	0.2409094	101435.5859375	4.087682E-03	303.9612	5.477081	7.470183E-02	2225.0000000	0.5264610
-2.4187622	0.3519000	102610.1171875	1.807440E-03	280.0123	9.900269	7.173858E-02	1055.0000000	0.6078775
28.7636719	0.7099159	102361.0625000	1.789423E-03	288.9239	9.122925	2.315459E-02	2565.0000000	0.4106616
10.7233887	0.8362107	102216.7812500	4.266486E-03	293.1317	7.806854	1.894105E-02	1655.0000000	0.4851182
1.3037109	0.3898940	103063.2109375	4.591460E-04	271.9303	6.097534	1.063396E-01	935.0000000	0.5603764
5.3017578	0.7206848	101232.6875000	1.158504E-03	283.3610	5.671539	8.116150E-02	955.0000000	0.3197911
48.9992676	0.0000000	103522.7578125	2.523138E-03	286.4195	7.331512	7.042678E-02	2895.0000000	0.7050346
23.7978516	0.0000000	102549.7734375	5.291706E-03	297.9966	10.993440	5.705983E-02	2945.0000000	0.7713551
8.9936523	0.2741338	101303.7656250	8.787054E-03	297.7033	8.338257	3.781151E-02	1385.0000000	0.7236126
4.7065430	0.1539237	101907.9140625	5.839524E-03	293.0372	7.574005	8.111582E-02	1605.0000000	0.7421497
1.4671631	0.4135529	102698.2500000	6.321240E-04	267.3102	5.864716	5.624063E-02	945.0000000	0.6218367
17.0722656	0.9236516	102537.0078125	6.239289E-03	289.6975	10.992190	3.553372E-02	1105.0000000	0.4987058
30.1735840	0.6592863	100880.9843750	5.767770E-04	286.0010	5.129486	1.580441E-02	2585.0000000	0.4508673
18.8347168	0.4150661	103313.3984375	8.793306E-04	264.7289	4.664703	2.512064E-02	845.0000000	0.7046836
6.8537598	0.3982378	102196.5312500	1.586543E-03	284.4151	4.221100	1.150989E-01	1215.0000000	0.4308953
16.3645020	0.7446470	102370.3046875	5.813721E-03	292.7962	9.651520	4.307211E-02	1685.0000000	0.5419596
13.7573242	0.0000000	102661.6562500	3.018183E-03	298.9326	5.262695	3.083169E-02	2525.0000000	0.6954913
-25.0527344	0.8008922	101005.5937500	1.343995E-03	281.9613	8.737518	4.378428E-02	2095.0000000	0.3759946
22.7414551	0.0713551	99452.1406250	1.199575E-03	270.1089	7.089081	9.959880E-02	1105.0000000	0.8943004
-23.8114014	0.4993901	102397.1640625	3.815010E-04	282.3721	7.781342	5.599885E-02	2145.0000000	0.4086302
13.1308594	0.0000000	102009.8828125	5.019131E-03	292.5562	7.334198	1.133310E-01	1625.0000000	0.7568002
-1.7991028	0.6023610	102003.6796875	9.265800E-04	285.0735	4.022797	9.457104E-02	1135.0000000	0.3908162
12.6701660	0.8536183	101725.2812500	8.005273E-03	295.9786	9.566101	1.921795E-02	1585.0000000	0.5017967
