   1    0.4702    0.5945   -0.1243   1
   2    0.4633    0.3770    0.0863   3
   3    0.2821    0.3473   -0.0652   2
   4    0.2785    0.2962   -0.0177   2
   5    0.1491    0.1774   -0.0283   4
   6    0.1934    0.2322   -0.0388   4
   7    0.1746    0.1293    0.0453   3
   8    0.3581    0.3788   -0.0207   9
   9    0.1679    0.2398   -0.0719   4
  10    0.4738    0.4627    0.0111   7
  11    0.4140    0.3966    0.0174   7
  12    0.1891    0.2396   -0.0505   9
  13    0.3816    0.2733    0.1083   5
  14    0.4322    0.4718   -0.0396   6
  15    0.1499    0.4278   -0.2779  10
  16    0.2386    0.1166    0.1220   1
  17    0.2774    0.2124    0.0650   7
  18    0.3991    0.3024    0.0967   7
  19    0.3671    0.1522    0.2149   5
  20    0.1437    0.1025    0.0412   4
  21    0.4343    0.4034    0.0309   5
  22    0.1680    0.3088   -0.1408   2
  23    0.3851    0.3929   -0.0078   5
  24    0.2123    0.2505   -0.0382   7
  25    0.0146    0.1044   -0.0897   9
  26    0.3501    0.2908    0.0593   9
  27    0.4515    0.4801   -0.0286   8
  28    0.2728    0.2333    0.0395   2
  29    0.2647    0.2172    0.0475   2
  30    0.4594    0.4531    0.0063   6
  31    0.3686    0.3592    0.0094   6
  32    0.2518    0.2462    0.0056   6
  33    0.2112    0.1666    0.0446   8
  34    0.3972    0.3418    0.0554   8
  35    0.4202    0.3799    0.0403  10
  36    0.1061    0.1803   -0.0742   5
  37    0.2464    0.1437    0.1027   8
  38    0.4584    0.2600    0.1984   3
  39    0.0541    0.2098   -0.1557   8
  40    0.0711    0.2664   -0.1953   4
  41    0.5145    0.5181   -0.0036   5
  42    0.5016    0.4821    0.0195   1
  43    0.3177    0.2910    0.0267   2
  44    0.1040    0.2389   -0.1349  10
  45    0.1663    0.1884   -0.0221   9
  46    0.2545    0.2285    0.0260   9
  47    0.3784    0.3469    0.0315   4
  48    0.3285    0.3529   -0.0244   3
  49    0.2686    0.4962   -0.2276   9
  50    0.5193    0.3798    0.1395   9
  51    0.6028    0.5914    0.0114   5
  52    0.2088    0.2161   -0.0073   8
  53    0.1992    0.2386   -0.0394   7
  54    0.2715    0.1943    0.0772   2
  55    0.1584    0.1965   -0.0381   8
  56    0.5741    0.4664    0.1077   4
  57    0.5158    0.4798    0.0360   1
  58    0.4174    0.3615    0.0559   6
  59    0.4359    0.3651    0.0708   6
  60    0.1147    0.1664   -0.0517  10
  61    0.4512    0.3920    0.0592   6
  62    0.4904    0.4801    0.0103   8
