   1    0.0759    0.2919   -0.2161   9
   2    0.1749    0.1572    0.0177   8
   3    0.0857    0.2893   -0.2036   8
   4    0.2315    0.2952   -0.0637   8
   5    0.2349    0.2080    0.0269   5
   6    0.3712    0.4730   -0.1017   5
   7    0.2398    0.2706   -0.0308   5
   8    0.4576    0.4507    0.0069   1
   9    0.2053    0.3607   -0.1554   5
  10    0.2980    0.3592   -0.0612   2
  11    0.1950    0.1783    0.0167   6
  12    0.2864    0.3279   -0.0415   4
  13    0.2749    0.3395   -0.0646   4
  14    0.1088    0.1739   -0.0651   4
  15    0.3257    0.3507   -0.0250   4
  16    0.2434    0.2563   -0.0129   2
  17    0.5330    0.5085    0.0245   6
  18    0.3840    0.3438    0.0402   3
  19    0.2277    0.2650   -0.0374   9
  20    0.3603    0.3032    0.0571   2
  21    0.3610    0.3838   -0.0228   1
  22    0.3099    0.2481    0.0618   2
  23    0.4519    0.4747   -0.0227   8
  24    0.2365    0.2295    0.0070   2
  25    0.4402    0.4584   -0.0182   8
  26    0.1764    0.2222   -0.0458   2
  27    0.3476    0.3328    0.0148  10
  28    0.0620    0.0637   -0.0017   3
  29    0.4134    0.3363    0.0771   2
  30    0.1889    0.1561    0.0328   3
  31    0.3605    0.3419    0.0186   2
  32    0.2843    0.2766    0.0077   9
  33    0.4670    0.4565    0.0104   7
  34    0.3916    0.3400    0.0517   1
  35    0.4158    0.4116    0.0042   6
  36    0.2849    0.2743    0.0105   9
  37    0.4616    0.4287    0.0329   7
  38    0.2335    0.2355   -0.0020   9
  39    0.4542    0.4431    0.0111   2
  40    0.2314    0.2635   -0.0322   9
  41    0.4474    0.4334    0.0140   6
  42    0.0897    0.0443    0.0454   2
  43    0.2954    0.2566    0.0388   6
  44    0.2800    0.2430    0.0370   9
  45    0.3512    0.3256    0.0255   2
  46    0.1791    0.2186   -0.0395   1
  47    0.2604    0.2385    0.0219   1
  48    0.2017    0.1909    0.0107   1
  49    0.5032    0.4826    0.0207   8
  50    0.4864    0.3992    0.0872  10
  51    0.4267    0.3757    0.0510   8
  52    0.2091    0.2165   -0.0074  10
  53    0.4084    0.4025    0.0059   7
  54    0.1940    0.2164   -0.0224   3
  55    0.4418    0.4431   -0.0013   1
  56    0.2116    0.1681    0.0435   5
  57    0.4233    0.3582    0.0651   9
  58    0.1731    0.1565    0.0166   5
  59    0.2391    0.2457   -0.0066  10
  60    0.2119    0.2112    0.0006   7
  61    0.2833    0.2631    0.0202   1
  62    0.1642    0.1944   -0.0302   3
  63    0.1310    0.3133   -0.1823   2
  64    0.1467    0.0422    0.1045   2
  65    0.3063    0.2827    0.0236   5
  66    0.0482    0.1507   -0.1025   4
  67    0.2910    0.3047   -0.0137   4
  68    0.2049    0.1485    0.0564  10
  69    0.3084    0.2956    0.0128   4
  70    0.3145    0.3093    0.0051   7
  71    0.4072    0.3870    0.0202   7
  72    0.2663    0.2799   -0.0136   9
  73    0.2883    0.2847    0.0036   6
  74    0.2200    0.1965    0.0235   6
  75    0.2364    0.2077    0.0288  10
  76    0.2132    0.1036    0.1096   1
  77    0.3754    0.3699    0.0055   7
  78    0.2207    0.2211   -0.0004   7
  79    0.3362    0.2951    0.0411   5
  80    0.2683    0.2409    0.0273   4
  81    0.5369    0.5483   -0.0114   6
  82    0.3718    0.3855   -0.0137   2
  83    0.3366    0.3315    0.0052   5
  84    0.2673    0.2872   -0.0199   7
  85    0.4553    0.4187    0.0366   9
  86    0.3186    0.2872    0.0313   9
  87    0.4003    0.3876    0.0126   8
  88    0.3035    0.3155   -0.0120   2
  89    0.2698    0.2434    0.0264   2
  90    0.2697    0.2936   -0.0239   7
  91    0.2640    0.3366   -0.0726   6
  92    0.0998    0.1371   -0.0372   7
  93    0.4465    0.4458    0.0007   8
  94    0.2926    0.2959   -0.0032   8
  95    0.3621    0.3758   -0.0137  10
  96    0.2443    0.2374    0.0068   6
  97    0.2762    0.2971   -0.0210   8
  98    0.3381    0.3253    0.0127   4
  99    0.2410    0.2355    0.0055   8
 100    0.2096    0.2244   -0.0149   5
 101    0.3174    0.3043    0.0131   5
 102    0.2174    0.2276   -0.0102   1
 103    0.2553    0.2632   -0.0079   2
 104    0.1867    0.2096   -0.0229  10
 105    0.2917    0.3102   -0.0186   9
 106    0.2437    0.2193    0.0244  10
 107    0.2637    0.2757   -0.0120   4
 108    0.2089    0.2226   -0.0137   2
 109    0.4308    0.4397   -0.0089  10
 110    0.2240    0.2477   -0.0237  10
 111    0.1857    0.2327   -0.0470   6
 112    0.2256    0.2027    0.0229   8
 113    0.5831    0.5647    0.0184   7
 114    0.1999    0.1776    0.0223   2
 115    0.2888    0.2808    0.0080   8
